epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1999.29,0.59245,0.6992,1.1456,0.81913,0.6722,0.67695,0.44608,0.87574,0.97257,1.40474,0.0002674,0.0002674,0.0002674
76,2024.91,0.59457,0.71224,1.14926,0.79693,0.63688,0.67318,0.45966,0.87526,0.96547,1.39954,0.0002575,0.0002575,0.0002575
77,2050.69,0.5594,0.68519,1.12364,0.89732,0.53463,0.65692,0.44786,0.87392,0.94621,1.41009,0.0002476,0.0002476,0.0002476
78,2076.35,0.57856,0.66263,1.12902,0.74222,0.68836,0.59795,0.43134,0.8636,0.93552,1.38404,0.0002377,0.0002377,0.0002377
79,2101.79,0.58776,0.69556,1.13502,0.71467,0.68339,0.63286,0.44135,0.83315,0.96199,1.34304,0.0002278,0.0002278,0.0002278
80,2127.49,0.55991,0.65367,1.11445,0.83117,0.65685,0.68264,0.48978,0.84311,0.93813,1.3313,0.0002179,0.0002179,0.0002179
81,2153.06,0.57417,0.70562,1.12984,0.94573,0.60668,0.70165,0.46417,0.88512,0.956,1.39047,0.000208,0.000208,0.000208
82,2178.56,0.54704,0.65372,1.12247,0.83117,0.62568,0.66731,0.51632,0.84435,0.94226,1.3901,0.0001981,0.0001981,0.0001981
83,2204.48,0.55567,0.65916,1.11639,0.86916,0.62427,0.67359,0.49716,0.86823,0.95001,1.39585,0.0001882,0.0001882,0.0001882
84,2230.38,0.53561,0.6492,1.10385,0.9109,0.62983,0.73382,0.49146,0.88236,0.95637,1.41996,0.0001783,0.0001783,0.0001783
85,2256.48,0.52989,0.63144,1.08924,0.91896,0.66506,0.72351,0.48382,0.88051,0.93755,1.40589,0.0001684,0.0001684,0.0001684
86,2283.11,0.53982,0.62248,1.10374,0.92882,0.636,0.71241,0.47615,0.86644,0.96104,1.39404,0.0001585,0.0001585,0.0001585
87,2308.88,0.53039,0.60918,1.09563,0.84514,0.63419,0.68138,0.49089,0.85662,0.92166,1.39544,0.0001486,0.0001486,0.0001486
88,2334.75,0.52006,0.60253,1.08891,0.77852,0.65185,0.68982,0.49099,0.8495,0.95358,1.40492,0.0001387,0.0001387,0.0001387
89,2364.39,0.52348,0.60008,1.08817,0.74313,0.6625,0.66492,0.46907,0.86139,0.94901,1.40907,0.0001288,0.0001288,0.0001288
90,2390.71,0.52934,0.58933,1.09421,0.84332,0.63163,0.63089,0.44657,0.87882,0.95348,1.41278,0.0001189,0.0001189,0.0001189
91,2417.2,0.42407,0.45874,1.02977,0.88612,0.60879,0.6663,0.44197,0.89828,0.93321,1.45877,0.000109,0.000109,0.000109
92,2445.62,0.38708,0.40034,0.99258,0.87654,0.6061,0.64013,0.45653,0.88146,0.91883,1.42734,9.91e-05,9.91e-05,9.91e-05
93,2472.62,0.38357,0.36803,1.00275,0.9445,0.61465,0.7121,0.49215,0.86135,0.92537,1.4086,8.92e-05,8.92e-05,8.92e-05
94,2499.6,0.38626,0.37525,0.99397,0.88347,0.62478,0.65458,0.45908,0.86702,0.93307,1.42028,7.93e-05,7.93e-05,7.93e-05
95,2525.77,0.35152,0.34689,0.97183,0.88191,0.62006,0.64886,0.45243,0.82052,0.90762,1.36709,6.94e-05,6.94e-05,6.94e-05
96,2553.98,0.37767,0.34336,1.00187,0.89213,0.63717,0.72488,0.47842,0.82275,0.91753,1.36851,5.95e-05,5.95e-05,5.95e-05
97,2581.55,0.36685,0.34046,0.98869,0.94079,0.63502,0.72302,0.49695,0.80438,0.9295,1.34484,4.96e-05,4.96e-05,4.96e-05
98,2608.37,0.35561,0.32334,0.96736,0.88081,0.63383,0.65575,0.48643,0.82619,0.92547,1.3678,3.97e-05,3.97e-05,3.97e-05
99,2635.1,0.3589,0.33028,0.97219,0.89423,0.61701,0.65126,0.47364,0.81832,0.93994,1.35722,2.98e-05,2.98e-05,2.98e-05
100,2661.89,0.34363,0.31853,0.95884,0.8886,0.62113,0.65295,0.46985,0.8232,0.9216,1.36294,1.99e-05,1.99e-05,1.99e-05
