epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,2073.43,0.68462,0.68982,0.01315,0.87665,0.65132,0.68294,0.50152,0.82241,1.03214,0.0236,0.0003961,0.0003961,0.0003961
63,2106.73,0.69397,0.7036,0.01317,0.8312,0.65948,0.71444,0.51033,0.81435,1.01227,0.02336,0.0003862,0.0003862,0.0003862
64,2140.32,0.6974,0.71693,0.01277,0.87464,0.60301,0.65369,0.5101,0.80015,0.95736,0.02265,0.0003763,0.0003763,0.0003763
65,2173.52,0.65807,0.65641,0.01279,0.86536,0.66815,0.68196,0.51619,0.8149,0.98058,0.02346,0.0003664,0.0003664,0.0003664
66,2207.3,0.66675,0.68807,0.01248,0.68681,0.60531,0.68091,0.55634,0.79095,1.03868,0.02245,0.0003565,0.0003565,0.0003565
67,2240.35,0.64617,0.6498,0.01189,0.60996,0.6582,0.62951,0.44709,0.81231,1.13372,0.0232,0.0003466,0.0003466,0.0003466
68,2273.74,0.64237,0.64859,0.01252,0.66636,0.6316,0.66145,0.50835,0.79143,1.13366,0.02244,0.0003367,0.0003367,0.0003367
69,2306.82,0.66782,0.6482,0.01248,0.81381,0.64341,0.62951,0.49704,0.7877,1.05778,0.02235,0.0003268,0.0003268,0.0003268
70,2340.13,0.62526,0.59962,0.01198,0.75134,0.6208,0.70252,0.51242,0.83147,1.05541,0.02379,0.0003169,0.0003169,0.0003169
71,2373.61,0.63856,0.62361,0.01138,0.85679,0.55984,0.58689,0.45949,0.8067,1.01153,0.02288,0.000307,0.000307,0.000307
72,2406.98,0.63597,0.59358,0.01167,0.84089,0.65502,0.60076,0.47225,0.7985,1.03359,0.02299,0.0002971,0.0002971,0.0002971
73,2440.37,0.62154,0.60685,0.01154,0.82666,0.64884,0.59616,0.44047,0.78924,1.02615,0.02208,0.0002872,0.0002872,0.0002872
74,2473.87,0.64915,0.63153,0.01202,0.83232,0.63849,0.57722,0.4586,0.81201,1.00047,0.02261,0.0002773,0.0002773,0.0002773
75,2507.75,0.63231,0.61377,0.01193,0.89099,0.64774,0.64775,0.48052,0.79203,0.99831,0.02181,0.0002674,0.0002674,0.0002674
76,2541.2,0.62988,0.59744,0.01204,0.8278,0.65155,0.64851,0.53426,0.7924,1.06666,0.02203,0.0002575,0.0002575,0.0002575
77,2574.22,0.60562,0.56154,0.01127,0.93476,0.64801,0.70909,0.54321,0.79041,1.02224,0.02215,0.0002476,0.0002476,0.0002476
78,2607.32,0.62568,0.55777,0.01172,0.55947,0.68899,0.60261,0.45753,0.80897,1.00791,0.02276,0.0002377,0.0002377,0.0002377
79,2640.47,0.63107,0.60589,0.01162,0.62831,0.656,0.59926,0.48981,0.79647,0.97397,0.0224,0.0002278,0.0002278,0.0002278
